epoch, loss, accuracy
1, 3.1928, 0.5375
2, 3.2067, 0.625
3, 2.78, 0.625
4, 2.319, 0.625
5, 1.866, 0.625
6, 1.4758, 0.625
7, 1.247, 0.625
8, 1.2097, 0.8125
9, 1.2039, 0.9375
10, 1.1324, 0.9375
11, 1.0504, 0.6875
12, 0.9986, 0.625
13, 0.9572, 0.625
14, 0.9084, 0.625
15, 0.8572, 0.625
16, 0.8111, 0.625
17, 0.7697, 0.625
18, 0.7328, 0.625
19, 0.7048, 0.625
20, 0.6896, 0.625
21, 0.6849, 0.625
22, 0.6832, 0.625
23, 0.679, 0.625
24, 0.6732, 0.625
25, 0.6681, 0.625
26, 0.6641, 0.625
27, 0.6604, 0.625
28, 0.6566, 0.625
29, 0.6527, 0.625
30, 0.6489, 0.625
31, 0.6452, 0.625
32, 0.6415, 0.625
33, 0.6379, 0.625
34, 0.6343, 0.625
35, 0.6307, 0.625
36, 0.6272, 0.625
37, 0.6237, 0.625
38, 0.6202, 0.625
39, 0.6168, 0.625
40, 0.6134, 0.625
41, 0.61, 0.625
42, 0.6067, 0.625
43, 0.6034, 0.625
44, 0.6001, 0.8125
45, 0.5969, 0.9375
46, 0.5937, 0.9375
47, 0.5905, 0.9375
48, 0.5874, 0.9375
49, 0.5842, 0.9375
50, 0.5811, 0.9375
51, 0.6825, 0.9062
