epoch, loss, accuracy
1, 4.8068, 0.4313
2, 5.0106, 0.4688
3, 4.362, 0.4688
4, 3.7674, 0.4688
5, 3.2105, 0.4688
6, 2.6447, 0.4688
7, 2.0779, 0.4688
8, 1.5376, 0.4688
9, 1.0874, 0.4688
10, 0.8226, 0.4688
11, 0.7604, 0.6938
12, 0.7775, 0.4688
13, 0.7902, 0.4688
14, 0.765, 0.4688
15, 0.7327, 0.8438
16, 0.7043, 0.9375
17, 0.6946, 0.9375
18, 0.6878, 0.9375
19, 0.6799, 0.9375
20, 0.6706, 0.9375
21, 0.6626, 0.9375
22, 0.6554, 0.9375
23, 0.6484, 0.9375
24, 0.6414, 0.9375
25, 0.6345, 0.9375
26, 0.6278, 0.9375
27, 0.6212, 0.9375
28, 0.6148, 0.9375
29, 0.6086, 0.9375
30, 0.6024, 0.9375
31, 0.5964, 0.9375
32, 0.5905, 0.9375
33, 0.5847, 0.9375
34, 0.579, 0.9375
35, 0.5734, 0.9375
36, 0.568, 0.9375
37, 0.5626, 0.9375
38, 0.5573, 0.9375
39, 0.5522, 0.9375
40, 0.5471, 0.9375
41, 0.5422, 0.9375
42, 0.5373, 0.9375
43, 0.5325, 0.9375
44, 0.5278, 0.9375
45, 0.5232, 0.9375
46, 0.5187, 0.9375
47, 0.5138, 0.9375
48, 0.5086, 0.9375
49, 0.5035, 0.9375
50, 0.4985, 0.9375
51, 0.4941, 0.9375
52, 0.4889, 0.9375
53, 0.4843, 0.9375
54, 0.4781, 0.9375
55, 0.4675, 0.9375
56, 0.4583, 0.9375
57, 0.4526, 0.9375
58, 0.4477, 0.9375
59, 0.4429, 0.9375
60, 0.4384, 0.9375
61, 0.4336, 0.9375
62, 0.429, 0.9375
63, 0.4247, 0.9375
64, 0.4204, 0.9375
65, 0.4163, 0.9375
66, 0.4122, 0.9375
67, 0.4083, 0.9375
68, 0.4019, 0.9375
69, 0.3966, 0.9375
70, 0.3918, 0.9375
71, 0.3877, 0.9375
72, 0.3836, 0.9375
73, 0.3796, 0.9375
74, 0.3758, 0.9375
75, 0.3721, 0.9375
76, 0.3685, 0.9375
77, 0.365, 0.9375
78, 0.3617, 0.9375
79, 0.3584, 0.9375
80, 0.3553, 0.9375
81, 0.3523, 0.9375
82, 0.3493, 0.9375
83, 0.3465, 0.9375
84, 0.3437, 0.9375
85, 0.341, 0.9375
86, 0.3384, 0.9375
87, 0.3359, 0.9375
88, 0.3335, 0.9375
89, 0.3311, 0.9375
90, 0.3288, 0.9375
91, 0.3265, 0.9375
92, 0.3243, 0.9375
93, 0.3222, 0.9375
94, 0.3201, 0.9375
95, 0.3181, 0.9375
96, 0.3161, 0.9375
97, 0.3142, 0.9375
98, 0.3123, 0.9375
99, 0.3105, 0.9375
100, 0.3087, 0.9375
101, 0.4445, 0.875
