epoch, loss, accuracy
1, 3.9303, 0.4
2, 3.6235, 0.4375
3, 2.9698, 0.4375
4, 2.4064, 0.4375
5, 2.0703, 0.4375
6, 1.9762, 0.4375
7, 1.9334, 0.4375
8, 1.8284, 0.4375
9, 1.6936, 0.4375
10, 1.5798, 0.4375
11, 1.4878, 0.4375
12, 1.3948, 0.4375
13, 1.2958, 0.4375
14, 1.2005, 0.4375
15, 1.1155, 0.4375
16, 1.0454, 0.4375
17, 0.9993, 0.4375
18, 0.9842, 0.4375
19, 0.989, 0.4375
20, 0.9926, 0.4375
21, 0.9888, 0.4375
22, 0.9845, 0.4375
23, 0.9834, 0.4375
24, 0.9838, 0.4375
25, 0.984, 0.4375
26, 0.9837, 0.4375
27, 0.9834, 0.4375
28, 0.9833, 0.4375
29, 0.9833, 0.4375
30, 0.9833, 0.4375
31, 0.9833, 0.4375
32, 0.9833, 0.4375
33, 0.9833, 0.4375
34, 0.9833, 0.4375
35, 0.9833, 0.4375
36, 0.9833, 0.4375
37, 0.9833, 0.4375
38, 0.9833, 0.4375
39, 0.9833, 0.4375
40, 0.9833, 0.4375
41, 0.9833, 0.4375
42, 0.9833, 0.4375
43, 0.9833, 0.4375
44, 0.9833, 0.4375
45, 0.9833, 0.4375
46, 0.9833, 0.4375
47, 0.9833, 0.4375
48, 0.9833, 0.4375
49, 0.9833, 0.4375
50, 0.9833, 0.4375
51, 0.9833, 0.4375
52, 0.9833, 0.4375
53, 0.9833, 0.4375
54, 0.9833, 0.4375
55, 0.9833, 0.4375
56, 0.9833, 0.4375
57, 0.9833, 0.4375
58, 0.9833, 0.4375
59, 0.9833, 0.4375
60, 0.9833, 0.4375
61, 0.9833, 0.4375
62, 0.9833, 0.4375
63, 0.9833, 0.4375
64, 0.9833, 0.4375
65, 0.9833, 0.4375
66, 0.9833, 0.4375
67, 0.9833, 0.4375
68, 0.9833, 0.4375
69, 0.9833, 0.4375
70, 0.9833, 0.4375
71, 0.9833, 0.4375
72, 0.9833, 0.4375
73, 0.9833, 0.4375
74, 0.9833, 0.4375
75, 0.9833, 0.4375
76, 0.9833, 0.4375
77, 0.9833, 0.4375
78, 0.9833, 0.4375
79, 0.9833, 0.4375
80, 0.9833, 0.4375
81, 0.9833, 0.4375
82, 0.9833, 0.4375
83, 0.9833, 0.4375
84, 0.9833, 0.4375
85, 0.9833, 0.4375
86, 0.9833, 0.4375
87, 0.9833, 0.4375
88, 0.9833, 0.4375
89, 0.9833, 0.4375
90, 0.9833, 0.4375
91, 0.9833, 0.4375
92, 0.9833, 0.4375
93, 0.9833, 0.4375
94, 0.9833, 0.4375
95, 0.9833, 0.4375
96, 0.9833, 0.4375
97, 0.9833, 0.4375
98, 0.9833, 0.4375
99, 0.9833, 0.4375
100, 0.9833, 0.4375
101, 0.905, 0.5938
