epoch, loss, accuracy
1, 3.4663, 0.3812
2, 3.3123, 0.4375
3, 2.8754, 0.4375
4, 2.6167, 0.4375
5, 2.5841, 0.525
6, 2.6241, 0.4375
7, 2.6136, 0.4375
8, 2.5736, 0.4375
9, 2.5535, 0.875
10, 2.554, 0.525
11, 2.5517, 0.4375
12, 2.5433, 0.7875
13, 2.5371, 0.875
14, 2.534, 0.875
15, 2.5303, 0.875
16, 2.5258, 0.875
17, 2.5219, 0.875
18, 2.5183, 0.875
19, 2.5146, 0.875
20, 2.5109, 0.875
21, 2.5073, 0.875
22, 2.5037, 0.875
23, 2.5001, 0.875
24, 2.4966, 0.875
25, 2.4931, 0.875
26, 2.4896, 0.875
27, 2.4862, 0.875
28, 2.4828, 0.875
29, 2.4794, 0.875
30, 2.476, 0.875
31, 2.4727, 0.875
32, 2.4694, 0.875
33, 2.4661, 0.875
34, 2.4629, 0.875
35, 2.4597, 0.875
36, 2.4565, 0.875
37, 2.4533, 0.875
38, 2.4502, 0.875
39, 2.4471, 0.875
40, 2.444, 0.875
41, 2.4409, 0.875
42, 2.4379, 0.875
43, 2.4349, 0.875
44, 2.4319, 0.875
45, 2.4289, 0.875
46, 2.426, 0.875
47, 2.4231, 0.875
48, 2.4202, 0.875
49, 2.4173, 0.875
50, 2.4145, 0.875
51, 2.4117, 0.875
52, 2.4089, 0.875
53, 2.4061, 0.875
54, 2.4034, 0.875
55, 2.4007, 0.875
56, 2.398, 0.875
57, 2.3953, 0.875
58, 2.3926, 0.875
59, 2.39, 0.875
60, 2.3874, 0.875
61, 2.3848, 0.875
62, 2.3822, 0.875
63, 2.3797, 0.875
64, 2.3772, 0.875
65, 2.3747, 0.875
66, 2.3722, 0.875
67, 2.3697, 0.875
68, 2.3673, 0.875
69, 2.3649, 0.875
70, 2.3625, 0.875
71, 2.3601, 0.875
72, 2.3577, 0.875
73, 2.3554, 0.875
74, 2.3531, 0.875
75, 2.3508, 0.875
76, 2.3485, 0.875
77, 2.3462, 0.875
78, 2.344, 0.875
79, 2.3418, 0.875
80, 2.3396, 0.875
81, 2.3374, 0.875
82, 2.3352, 0.875
83, 2.3331, 0.875
84, 2.3309, 0.875
85, 2.3288, 0.875
86, 2.3267, 0.875
87, 2.3247, 0.875
88, 2.3226, 0.875
89, 2.3206, 0.875
90, 2.3185, 0.875
91, 2.3165, 0.875
92, 2.3145, 0.875
93, 2.3126, 0.875
94, 2.3106, 0.875
95, 2.3086, 0.875
96, 2.3067, 0.875
97, 2.3048, 0.875
98, 2.3029, 0.875
99, 2.301, 0.875
100, 2.2992, 0.875
101, 2.2973, 0.875
102, 2.2955, 0.875
103, 2.2937, 0.875
104, 2.2919, 0.875
105, 2.2901, 0.875
106, 2.2883, 0.875
107, 2.2866, 0.875
108, 2.2848, 0.875
109, 2.2831, 0.875
110, 2.2814, 0.875
111, 2.2797, 0.875
112, 2.278, 0.875
113, 2.2763, 0.875
114, 2.2746, 0.875
115, 2.273, 0.875
116, 2.2714, 0.875
117, 2.2697, 0.875
118, 2.2681, 0.875
119, 2.2665, 0.875
120, 2.265, 0.875
121, 2.2634, 0.875
122, 2.2618, 0.875
123, 2.2603, 0.875
124, 2.2588, 0.875
125, 2.2572, 0.875
126, 2.2557, 0.875
127, 2.2543, 0.875
128, 2.2528, 0.875
129, 2.2513, 0.875
130, 2.2498, 0.875
131, 2.2484, 0.875
132, 2.247, 0.875
133, 2.2455, 0.875
134, 2.2441, 0.875
135, 2.2427, 0.875
136, 2.2413, 0.875
137, 2.24, 0.875
138, 2.2386, 0.875
139, 2.2372, 0.875
140, 2.2359, 0.875
141, 2.2346, 0.875
142, 2.2332, 0.875
143, 2.2319, 0.875
144, 2.2306, 0.875
145, 2.2293, 0.875
146, 2.2281, 0.875
147, 2.2268, 0.875
148, 2.2255, 0.875
149, 2.2243, 0.875
150, 2.223, 0.875
151, 2.2218, 0.875
152, 2.2206, 0.875
153, 2.2194, 0.875
154, 2.2182, 0.875
155, 2.217, 0.875
156, 2.2158, 0.875
157, 2.2146, 0.875
158, 2.2134, 0.875
159, 2.2123, 0.875
160, 2.2111, 0.875
161, 2.21, 0.875
162, 2.2089, 0.875
163, 2.2077, 0.875
164, 2.2066, 0.875
165, 2.2055, 0.875
166, 2.2044, 0.875
167, 2.2033, 0.875
168, 2.2022, 0.875
169, 2.2012, 0.875
170, 2.2001, 0.875
171, 2.1991, 0.875
172, 2.198, 0.875
173, 2.197, 0.875
174, 2.1959, 0.875
175, 2.1949, 0.875
176, 2.1939, 0.875
177, 2.1929, 0.875
178, 2.1919, 0.875
179, 2.1909, 0.875
180, 2.1899, 0.875
181, 2.1889, 0.875
182, 2.188, 0.875
183, 2.187, 0.875
184, 2.186, 0.875
185, 2.1851, 0.875
186, 2.1841, 0.875
187, 2.1832, 0.875
188, 2.1823, 0.875
189, 2.1814, 0.875
190, 2.1804, 0.875
191, 2.1795, 0.875
192, 2.1786, 0.875
193, 2.1777, 0.875
194, 2.1768, 0.875
195, 2.176, 0.875
196, 2.1751, 0.875
197, 2.1742, 0.875
198, 2.1734, 0.875
199, 2.1725, 0.875
200, 2.1716, 0.875
201, 2.1708, 0.875
202, 2.17, 0.875
203, 2.1691, 0.875
204, 2.1683, 0.875
205, 2.1675, 0.875
206, 2.1667, 0.875
207, 2.1659, 0.875
208, 2.1651, 0.875
209, 2.1643, 0.875
210, 2.1635, 0.875
211, 2.1627, 0.875
212, 2.1619, 0.875
213, 2.1611, 0.875
214, 2.1604, 0.875
215, 2.1596, 0.875
216, 2.1588, 0.875
217, 2.1581, 0.875
218, 2.1573, 0.875
219, 2.1566, 0.875
220, 2.1559, 0.875
221, 2.1551, 0.875
222, 2.1544, 0.875
223, 2.1537, 0.875
224, 2.153, 0.875
225, 2.1523, 0.875
226, 2.1515, 0.875
227, 2.1508, 0.875
228, 2.1501, 0.875
229, 2.1495, 0.875
230, 2.1488, 0.875
231, 2.1481, 0.875
232, 2.1474, 0.875
233, 2.1467, 0.875
234, 2.1461, 0.875
235, 2.1454, 0.875
236, 2.1447, 0.875
237, 2.1441, 0.875
238, 2.1434, 0.875
239, 2.1428, 0.875
240, 2.1421, 0.875
241, 2.1415, 0.875
242, 2.1409, 0.875
243, 2.1402, 0.875
244, 2.1396, 0.875
245, 2.139, 0.875
246, 2.1384, 0.875
247, 2.1378, 0.875
248, 2.1372, 0.875
249, 2.1366, 0.875
250, 2.136, 0.875
251, 2.1354, 0.875
252, 2.1348, 0.875
253, 2.1342, 0.875
254, 2.1336, 0.875
255, 2.133, 0.875
256, 2.1324, 0.875
257, 2.1319, 0.875
258, 2.1313, 0.875
259, 2.1307, 0.875
260, 2.1302, 0.875
261, 2.1296, 0.875
262, 2.1291, 0.875
263, 2.1285, 0.875
264, 2.128, 0.875
265, 2.1274, 0.875
266, 2.1269, 0.875
267, 2.1263, 0.875
268, 2.1258, 0.875
269, 2.1253, 0.875
270, 2.1247, 0.875
271, 2.1242, 0.875
272, 2.1237, 0.875
273, 2.1232, 0.875
274, 2.1227, 0.875
275, 2.1222, 0.875
276, 2.1217, 0.875
277, 2.1212, 0.875
278, 2.1207, 0.875
279, 2.1202, 0.875
280, 2.1197, 0.875
281, 2.1192, 0.875
282, 2.1187, 0.875
283, 2.1182, 0.875
284, 2.1097, 0.875
285, 2.1278, 0.875
286, 2.1202, 0.875
287, 2.1197, 0.875
288, 2.1147, 0.875
289, 2.1156, 0.875
290, 2.1131, 0.875
291, 2.1132, 0.875
292, 2.1121, 0.875
293, 2.1117, 0.875
294, 2.1112, 0.875
295, 2.1107, 0.875
296, 2.1103, 0.875
297, 2.1098, 0.875
298, 2.1094, 0.875
299, 2.1089, 0.875
300, 2.1085, 0.875
301, 2.1081, 0.875
302, 2.1077, 0.875
303, 2.1073, 0.875
304, 2.1068, 0.875
305, 2.1064, 0.875
306, 2.106, 0.875
307, 2.1056, 0.875
308, 2.1052, 0.875
309, 2.1048, 0.875
310, 2.1044, 0.875
311, 2.104, 0.875
312, 2.1036, 0.875
313, 2.1032, 0.875
314, 2.1028, 0.875
315, 2.1025, 0.875
316, 2.1021, 0.875
317, 2.1017, 0.875
318, 2.1013, 0.875
319, 2.1009, 0.875
320, 2.1006, 0.875
321, 2.1002, 0.875
322, 2.0998, 0.875
323, 2.0995, 0.875
324, 2.0991, 0.875
325, 2.0987, 0.875
