epoch, loss, accuracy
1, 4.73, 0.55
2, 5.1867, 0.5938
3, 4.6747, 0.5938
4, 4.1541, 0.5938
5, 3.636, 0.5938
6, 3.1378, 0.5938
7, 2.6924, 0.5938
8, 2.3423, 0.5938
9, 2.0252, 0.5938
10, 1.6804, 0.5938
11, 1.3423, 0.5938
12, 1.0549, 0.5938
13, 0.8639, 0.5938
14, 0.8041, 0.5938
15, 0.8226, 0.7812
16, 0.794, 0.9062
17, 0.7509, 0.7312
18, 0.7268, 0.5938
19, 0.7151, 0.5938
20, 0.7083, 0.5938
21, 0.7008, 0.5938
22, 0.6929, 0.5938
23, 0.6852, 0.5938
24, 0.6779, 0.5938
25, 0.6708, 0.6562
26, 0.6638, 0.9062
27, 0.6569, 0.9062
28, 0.6502, 0.9062
29, 0.6437, 0.9062
30, 0.6373, 0.9062
31, 0.6311, 0.9062
32, 0.625, 0.9062
33, 0.619, 0.9062
34, 0.6131, 0.9062
35, 0.6074, 0.9062
36, 0.6018, 0.9062
37, 0.5963, 0.9062
38, 0.5909, 0.9062
39, 0.5856, 0.9062
40, 0.5804, 0.9062
41, 0.5753, 0.9062
42, 0.5703, 0.9062
43, 0.5654, 0.9062
44, 0.5606, 0.9062
45, 0.5559, 0.9062
46, 0.5513, 0.9062
47, 0.5468, 0.9062
48, 0.5423, 0.9062
49, 0.5379, 0.9062
50, 0.5336, 0.9062
51, 0.5294, 0.9062
52, 0.5253, 0.9062
53, 0.5212, 0.9062
54, 0.5173, 0.9062
55, 0.5133, 0.9062
56, 0.5095, 0.9062
57, 0.5057, 0.9062
58, 0.502, 0.9062
59, 0.4983, 0.9062
60, 0.4947, 0.9062
61, 0.4912, 0.9062
62, 0.4877, 0.9062
63, 0.4843, 0.9062
64, 0.481, 0.9062
65, 0.4777, 0.9062
66, 0.4744, 0.9062
67, 0.4712, 0.9062
68, 0.4681, 0.9062
69, 0.465, 0.9062
70, 0.462, 0.9062
71, 0.459, 0.9062
72, 0.4561, 0.9062
73, 0.4532, 0.9062
74, 0.4503, 0.9062
75, 0.4475, 0.9062
76, 0.4448, 0.9062
77, 0.4421, 0.9062
78, 0.4394, 0.9062
79, 0.4368, 0.9062
80, 0.4342, 0.9062
81, 0.4316, 0.9062
82, 0.4291, 0.9062
83, 0.4267, 0.9062
84, 0.4242, 0.9062
85, 0.4218, 0.9062
86, 0.4195, 0.9062
87, 0.4171, 0.9062
88, 0.4149, 0.9062
89, 0.4126, 0.9062
90, 0.4104, 0.9062
91, 0.4082, 0.9062
92, 0.406, 0.9062
93, 0.4039, 0.9062
94, 0.4018, 0.9062
95, 0.3997, 0.9062
96, 0.3977, 0.9062
97, 0.3957, 0.9062
98, 0.3937, 0.9062
99, 0.3918, 0.9062
100, 0.3898, 0.9062
101, 0.5408, 0.8125
