epoch, loss, accuracy
1, 2.2924, 0.4625
2, 2.0239, 0.5312
3, 1.5299, 0.5312
4, 1.1073, 0.5312
5, 0.8576, 0.7937
6, 0.8245, 0.95
7, 0.842, 0.9125
8, 0.8078, 0.9375
9, 0.755, 0.9438
10, 0.711, 0.9688
11, 0.6897, 0.9688
12, 0.6703, 0.9688
13, 0.6441, 0.9688
14, 0.6112, 0.9688
15, 0.5872, 0.9688
16, 0.5649, 0.9688
17, 0.5416, 0.9688
18, 0.5182, 0.9688
19, 0.495, 0.9688
20, 0.4722, 0.9688
21, 0.4497, 0.9688
22, 0.4277, 0.9688
23, 0.4067, 0.9688
24, 0.3875, 0.9688
25, 0.3709, 0.9688
26, 0.358, 0.9688
27, 0.3493, 0.9688
28, 0.3439, 0.9688
29, 0.3399, 0.9688
30, 0.3356, 0.9688
31, 0.3309, 0.9688
32, 0.3262, 0.9688
33, 0.3219, 0.9688
34, 0.3178, 0.9688
35, 0.3139, 0.9688
36, 0.3101, 0.9688
37, 0.3063, 0.9688
38, 0.3027, 0.9688
39, 0.2991, 0.9688
40, 0.2957, 0.9688
41, 0.2923, 0.9688
42, 0.2891, 0.9688
43, 0.2859, 0.9688
44, 0.2828, 0.9688
45, 0.2798, 0.9688
46, 0.2768, 0.9688
47, 0.2739, 0.9688
48, 0.2712, 0.9688
49, 0.2684, 0.9688
50, 0.2658, 0.9688
51, 0.5201, 0.8125
