epoch, loss, accuracy
1, 4.9273, 0.5063
2, 5.467, 0.5312
3, 4.9656, 0.5312
4, 4.3742, 0.5312
5, 3.757, 0.5312
6, 3.1343, 0.5312
7, 2.5212, 0.5312
8, 1.9516, 0.5312
9, 1.5091, 0.5312
10, 1.2457, 0.5312
11, 1.1673, 0.7437
12, 1.1328, 0.375
13, 1.0469, 0.4688
14, 0.9487, 0.8438
15, 0.8819, 0.6562
16, 0.85, 0.5312
17, 0.8395, 0.5312
18, 0.8358, 0.5312
19, 0.8281, 0.5312
20, 0.8192, 0.6687
21, 0.8124, 0.875
22, 0.8078, 0.875
23, 0.8037, 0.875
24, 0.8006, 0.875
25, 0.7969, 0.875
26, 0.7931, 0.875
27, 0.7896, 0.875
28, 0.786, 0.875
29, 0.7824, 0.875
30, 0.7787, 0.875
31, 0.775, 0.875
32, 0.7714, 0.875
33, 0.7678, 0.875
34, 0.7643, 0.875
35, 0.7607, 0.875
36, 0.7572, 0.875
37, 0.7538, 0.875
38, 0.7504, 0.875
39, 0.747, 0.875
40, 0.7437, 0.875
41, 0.7403, 0.875
42, 0.7371, 0.875
43, 0.7338, 0.875
44, 0.7306, 0.875
45, 0.7274, 0.875
46, 0.7243, 0.875
47, 0.7212, 0.875
48, 0.7181, 0.875
49, 0.715, 0.875
50, 0.712, 0.875
51, 0.709, 0.875
52, 0.706, 0.875
53, 0.7031, 0.875
54, 0.7002, 0.875
55, 0.6973, 0.875
56, 0.6945, 0.875
57, 0.6916, 0.875
58, 0.6889, 0.875
59, 0.6861, 0.875
60, 0.6833, 0.875
61, 0.6806, 0.875
62, 0.6779, 0.875
63, 0.6753, 0.875
64, 0.6726, 0.875
65, 0.67, 0.875
66, 0.6674, 0.875
67, 0.6649, 0.875
68, 0.6623, 0.875
69, 0.6598, 0.875
70, 0.6573, 0.875
71, 0.6549, 0.875
72, 0.6524, 0.875
73, 0.65, 0.875
74, 0.6476, 0.875
75, 0.6452, 0.875
76, 0.6429, 0.875
77, 0.6405, 0.875
78, 0.6382, 0.875
79, 0.6359, 0.875
80, 0.6337, 0.875
81, 0.6314, 0.875
82, 0.6292, 0.875
83, 0.627, 0.875
84, 0.6248, 0.875
85, 0.6227, 0.875
86, 0.6205, 0.875
87, 0.6184, 0.875
88, 0.6163, 0.875
89, 0.6142, 0.875
90, 0.6122, 0.875
91, 0.6101, 0.875
92, 0.6081, 0.875
93, 0.6061, 0.875
94, 0.6041, 0.875
95, 0.6021, 0.875
96, 0.6002, 0.875
97, 0.5983, 0.875
98, 0.5964, 0.875
99, 0.5945, 0.875
100, 0.5926, 0.875
101, 0.5907, 0.875
102, 0.5889, 0.875
103, 0.5871, 0.875
104, 0.5852, 0.875
105, 0.5834, 0.875
106, 0.5817, 0.875
107, 0.5799, 0.875
108, 0.5782, 0.875
109, 0.5764, 0.875
110, 0.5747, 0.875
111, 0.573, 0.875
112, 0.5714, 0.875
113, 0.5697, 0.875
114, 0.568, 0.875
115, 0.5664, 0.875
116, 0.5648, 0.875
117, 0.5632, 0.875
118, 0.5616, 0.875
119, 0.56, 0.875
120, 0.5584, 0.875
121, 0.5569, 0.875
122, 0.5554, 0.875
123, 0.5538, 0.875
124, 0.5523, 0.875
