epoch, loss, accuracy
1, 2.1277, 0.4938
2, 1.386, 0.5
3, 1.0994, 0.5
4, 0.9617, 0.5938
5, 0.8694, 0.5625
6, 0.8202, 0.625
7, 0.8189, 0.6375
8, 0.7961, 0.7125
9, 0.7636, 0.6938
10, 0.7442, 0.7188
11, 0.7012, 0.9125
12, 0.7141, 0.85
13, 0.6858, 0.8625
14, 0.6588, 0.9375
15, 0.6446, 0.95
16, 0.6307, 0.9688
17, 0.6197, 0.9688
18, 0.6103, 0.9688
19, 0.6007, 0.9688
20, 0.5912, 0.9688
21, 0.5823, 0.9688
22, 0.5736, 0.9688
23, 0.5651, 0.9688
24, 0.5569, 0.9688
25, 0.549, 0.9688
26, 0.5413, 0.9688
27, 0.5339, 0.9688
28, 0.5266, 0.9688
29, 0.5195, 0.9688
30, 0.5127, 0.9688
31, 0.506, 0.9688
32, 0.4995, 0.9688
33, 0.4931, 0.9688
34, 0.487, 0.9688
35, 0.4809, 0.9688
36, 0.4751, 0.9688
37, 0.4694, 0.9688
38, 0.4638, 0.9688
39, 0.4583, 0.9688
40, 0.453, 0.9688
41, 0.4478, 0.9688
42, 0.4427, 0.9688
43, 0.4377, 0.9688
44, 0.4329, 0.9688
45, 0.4281, 0.9688
46, 0.4235, 0.9688
47, 0.419, 0.9688
48, 0.4145, 0.9688
49, 0.4101, 0.9688
50, 0.4059, 0.9688
51, 0.5283, 0.875
