epoch, loss, accuracy
1, 2.7755, 0.4125
2, 2.5084, 0.4688
3, 2.2051, 0.4688
4, 2.1385, 0.4812
5, 2.183, 0.4375
6, 2.1774, 0.4375
7, 2.1402, 0.475
8, 2.1288, 0.4812
9, 2.135, 0.4688
10, 2.133, 0.4688
11, 2.1273, 0.4688
12, 2.1268, 0.5188
13, 2.1272, 0.5312
14, 2.1259, 0.5188
15, 2.1251, 0.4688
16, 2.1249, 0.4688
17, 2.1244, 0.4688
18, 2.1239, 0.4688
19, 2.1236, 0.4688
20, 2.1231, 0.4688
21, 2.1227, 0.4688
22, 2.1223, 0.4688
23, 2.1219, 0.4688
24, 2.1215, 0.4688
25, 2.1211, 0.4688
26, 2.1207, 0.4688
27, 2.1203, 0.4688
28, 2.1199, 0.4688
29, 2.1194, 0.4688
30, 2.119, 0.4688
31, 2.1186, 0.4688
32, 2.1182, 0.4688
33, 2.1178, 0.4688
34, 2.1174, 0.4688
35, 2.117, 0.4688
36, 2.1166, 0.4688
37, 2.1162, 0.4688
38, 2.1158, 0.4688
39, 2.1154, 0.4688
40, 2.115, 0.4688
41, 2.1146, 0.4688
42, 2.1142, 0.4688
43, 2.1138, 0.4688
44, 2.1134, 0.4688
45, 2.113, 0.4688
46, 2.1126, 0.5188
47, 2.1123, 0.5312
48, 2.1119, 0.5312
49, 2.1115, 0.5312
50, 2.1111, 0.5312
51, 2.1108, 0.5312
52, 2.1104, 0.5312
53, 2.11, 0.5312
54, 2.1097, 0.5312
55, 2.1093, 0.5312
56, 2.1089, 0.5312
57, 2.1086, 0.5312
58, 2.1082, 0.5312
59, 2.1079, 0.5312
60, 2.1075, 0.5312
61, 2.1072, 0.5312
62, 2.1069, 0.5312
63, 2.1065, 0.5312
64, 2.1062, 0.5312
65, 2.1059, 0.5312
66, 2.1055, 0.5312
67, 2.1052, 0.5312
68, 2.1049, 0.5312
69, 2.1046, 0.5312
70, 2.1043, 0.5312
71, 2.104, 0.5312
72, 2.1037, 0.5312
73, 2.1034, 0.5312
74, 2.1031, 0.5312
75, 2.1028, 0.5312
76, 2.1025, 0.5312
77, 2.1022, 0.5312
78, 2.1019, 0.5312
79, 2.1016, 0.5312
80, 2.1013, 0.5312
81, 2.101, 0.5312
82, 2.1008, 0.5312
83, 2.1005, 0.5312
84, 2.1002, 0.5312
85, 2.1, 0.5312
86, 2.0997, 0.5312
87, 2.0994, 0.5312
88, 2.0992, 0.5312
89, 2.0989, 0.5312
90, 2.0987, 0.5312
91, 2.0984, 0.5312
92, 2.0982, 0.5312
93, 2.0979, 0.5312
94, 2.0977, 0.5312
95, 2.0974, 0.5312
96, 2.0972, 0.5312
97, 2.097, 0.5312
98, 2.0967, 0.5312
99, 2.0965, 0.5312
100, 2.0963, 0.5312
101, 2.0961, 0.5312
102, 2.0958, 0.5312
103, 2.0956, 0.5312
104, 2.0954, 0.5312
105, 2.0952, 0.5312
106, 2.095, 0.5312
107, 2.0948, 0.5312
108, 2.0946, 0.5312
109, 2.0943, 0.5312
110, 2.0941, 0.5312
111, 2.0939, 0.5312
112, 2.0937, 0.5312
113, 2.0935, 0.5312
114, 2.0934, 0.5312
115, 2.0932, 0.5312
116, 2.093, 0.5312
117, 2.0928, 0.5312
118, 2.0926, 0.5312
119, 2.0924, 0.5312
120, 2.0922, 0.5312
121, 2.0921, 0.5312
122, 2.0919, 0.5312
123, 2.0917, 0.5312
124, 2.0915, 0.5312
125, 2.0914, 0.5312
126, 2.0912, 0.5312
127, 2.091, 0.5312
128, 2.0909, 0.5312
129, 2.0907, 0.5312
130, 2.0905, 0.5312
131, 2.0904, 0.5312
132, 2.0902, 0.5312
133, 2.0901, 0.5312
134, 2.0899, 0.5312
135, 2.0898, 0.5312
136, 2.0896, 0.5312
137, 2.0895, 0.5312
138, 2.0893, 0.5312
139, 2.0892, 0.5312
140, 2.089, 0.5312
141, 2.0889, 0.5312
142, 2.0887, 0.5312
143, 2.0886, 0.5312
144, 2.0885, 0.5312
145, 2.0883, 0.5312
146, 2.0882, 0.5312
147, 2.088, 0.5312
148, 2.0879, 0.5312
149, 2.0878, 0.5312
150, 2.0877, 0.5312
151, 2.0875, 0.5312
152, 2.0874, 0.5312
153, 2.0873, 0.5312
154, 2.0871, 0.5312
155, 2.087, 0.5312
156, 2.0869, 0.5312
157, 2.0868, 0.5312
158, 2.0867, 0.5312
159, 2.0865, 0.5312
160, 2.0864, 0.5312
161, 2.0863, 0.5312
162, 2.0862, 0.5312
163, 2.0861, 0.5312
164, 2.086, 0.5312
165, 2.0859, 0.5312
166, 2.0858, 0.5312
167, 2.0856, 0.5312
168, 2.0855, 0.5312
169, 2.0854, 0.5312
170, 2.0853, 0.5312
171, 2.0852, 0.5312
172, 2.0851, 0.5312
173, 2.085, 0.5312
174, 2.0849, 0.5312
175, 2.0848, 0.5312
176, 2.0847, 0.5312
177, 2.0846, 0.5312
178, 2.0845, 0.5312
179, 2.0844, 0.5312
180, 2.0843, 0.5312
181, 2.0842, 0.5312
182, 2.0842, 0.5312
183, 2.0841, 0.5312
184, 2.084, 0.5312
185, 2.0839, 0.5312
186, 2.0838, 0.5312
187, 2.0837, 0.5312
188, 2.0836, 0.5312
189, 2.0835, 0.5312
190, 2.0834, 0.5312
191, 2.0834, 0.5312
192, 2.0833, 0.5312
193, 2.0832, 0.5312
194, 2.0831, 0.5312
195, 2.083, 0.5312
196, 2.083, 0.5312
197, 2.0829, 0.5312
198, 2.0828, 0.5312
199, 2.0827, 0.5312
200, 2.0826, 0.5312
201, 2.0826, 0.5312
202, 2.0825, 0.5312
203, 2.0824, 0.5312
204, 2.0823, 0.5312
205, 2.0823, 0.5312
206, 2.0822, 0.5312
207, 2.0821, 0.5312
208, 2.0821, 0.5312
209, 2.082, 0.5312
210, 2.0819, 0.5312
211, 2.0818, 0.5312
212, 2.0818, 0.5312
213, 2.0817, 0.5312
214, 2.0816, 0.5312
215, 2.0816, 0.5312
216, 2.0815, 0.5312
217, 2.0814, 0.5312
218, 2.0814, 0.5312
219, 2.0813, 0.5312
220, 2.0812, 0.5312
221, 2.0812, 0.5312
222, 2.0811, 0.5312
223, 2.0811, 0.5312
224, 2.081, 0.5312
225, 2.0809, 0.5312
226, 2.0809, 0.5312
227, 2.0808, 0.5312
228, 2.0808, 0.5312
229, 2.0807, 0.5312
230, 2.0806, 0.5312
231, 2.0806, 0.5312
232, 2.0805, 0.5312
233, 2.0805, 0.5312
234, 2.0804, 0.5312
235, 2.0804, 0.5312
236, 2.0803, 0.5312
237, 2.0802, 0.5312
238, 2.0802, 0.5312
239, 2.0801, 0.5312
240, 2.0801, 0.5312
241, 2.08, 0.5312
242, 2.08, 0.5312
243, 2.0799, 0.5312
244, 2.0799, 0.5312
245, 2.0798, 0.5312
246, 2.0798, 0.5312
247, 2.0797, 0.5312
248, 2.0797, 0.5312
249, 2.0796, 0.5312
250, 2.0796, 0.5312
251, 2.0795, 0.5312
252, 2.0795, 0.5312
253, 2.0794, 0.5312
254, 2.0794, 0.5312
255, 2.0793, 0.5312
256, 2.0793, 0.5312
257, 2.0793, 0.5312
258, 2.0792, 0.5312
259, 2.0792, 0.5312
260, 2.0791, 0.5312
261, 2.0791, 0.5312
262, 2.079, 0.5312
263, 2.079, 0.5312
264, 2.0789, 0.5312
265, 2.0789, 0.5312
266, 2.0789, 0.5312
267, 2.0788, 0.5312
268, 2.0788, 0.5312
269, 2.0787, 0.5312
270, 2.0787, 0.5312
271, 2.0787, 0.5312
272, 2.0786, 0.5312
273, 2.0786, 0.5312
274, 2.0785, 0.5312
275, 2.0785, 0.5312
276, 2.0785, 0.5312
277, 2.0784, 0.5312
278, 2.0784, 0.5312
279, 2.0783, 0.5312
280, 2.0783, 0.5312
281, 2.0783, 0.5312
282, 2.0782, 0.5312
283, 2.0782, 0.5312
284, 2.0782, 0.5312
285, 2.0781, 0.5312
286, 2.0781, 0.5312
287, 2.078, 0.5312
288, 2.078, 0.5312
289, 2.078, 0.5312
290, 2.0779, 0.5312
291, 2.0779, 0.5312
292, 2.0779, 0.5312
293, 2.0778, 0.5312
294, 2.0778, 0.5312
295, 2.0778, 0.5312
296, 2.0777, 0.5312
297, 2.0777, 0.5312
298, 2.0777, 0.5312
299, 2.0776, 0.5312
300, 2.0776, 0.5312
301, 2.0776, 0.5312
302, 2.0775, 0.5312
303, 2.0775, 0.5312
304, 2.0775, 0.5312
305, 2.0775, 0.5312
306, 2.0774, 0.5312
307, 2.0774, 0.5312
308, 2.0774, 0.5312
309, 2.0773, 0.5312
310, 2.0773, 0.5312
311, 2.0773, 0.5312
312, 2.0772, 0.5312
313, 2.0772, 0.5312
314, 2.0772, 0.5312
315, 2.073, 0.5375
316, 2.1329, 0.6938
317, 2.0765, 0.5375
318, 2.1449, 0.4437
319, 2.1421, 0.4688
320, 2.1399, 0.45
321, 2.1396, 0.4563
322, 2.1395, 0.4688
323, 2.1391, 0.4563
