epoch, loss, accuracy
1, 3.4632, 0.5562
2, 3.5358, 0.625
3, 3.073, 0.625
4, 2.5985, 0.625
5, 2.1225, 0.625
6, 1.6572, 0.625
7, 1.2353, 0.625
8, 0.9364, 0.625
9, 0.8437, 0.625
10, 0.8733, 0.4
11, 0.8648, 0.3438
12, 0.8118, 0.5688
13, 0.7781, 0.625
14, 0.774, 0.625
15, 0.7763, 0.625
16, 0.7745, 0.625
17, 0.7715, 0.625
18, 0.7703, 0.625
19, 0.77, 0.625
20, 0.7696, 0.625
21, 0.7693, 0.625
22, 0.7693, 0.625
23, 0.7693, 0.625
24, 0.7692, 0.625
25, 0.7691, 0.625
26, 0.7691, 0.625
27, 0.7692, 0.625
28, 0.7691, 0.625
29, 0.7691, 0.625
30, 0.7691, 0.625
31, 0.7691, 0.625
32, 0.7691, 0.625
33, 0.7691, 0.625
34, 0.7691, 0.625
35, 0.7691, 0.625
36, 0.7691, 0.625
37, 0.7691, 0.625
38, 0.7691, 0.625
39, 0.7691, 0.625
40, 0.7691, 0.625
41, 0.7691, 0.625
42, 0.7691, 0.625
43, 0.7691, 0.625
44, 0.7691, 0.625
45, 0.7691, 0.625
46, 0.7691, 0.625
47, 0.7691, 0.625
48, 0.7691, 0.625
49, 0.7691, 0.625
50, 0.7691, 0.625
51, 1.106, 0.4375
