epoch, loss, accuracy
1, 3.9913, 0.5437
2, 4.3231, 0.625
3, 3.9446, 0.625
4, 3.4764, 0.625
5, 2.9826, 0.625
6, 2.4839, 0.625
7, 1.9939, 0.625
8, 1.5361, 0.625
9, 1.1682, 0.625
10, 1.0238, 0.7437
11, 0.9768, 0.85
12, 0.8997, 0.875
13, 0.792, 0.8625
14, 0.6931, 0.9062
15, 0.6265, 0.9062
16, 0.5917, 0.9062
17, 0.5785, 0.9062
18, 0.5752, 0.9062
19, 0.5686, 0.9062
20, 0.5576, 0.9062
21, 0.5478, 0.9062
22, 0.5365, 0.9062
23, 0.5278, 0.9062
24, 0.5175, 0.9062
25, 0.51, 0.9062
26, 0.5035, 0.9062
27, 0.4968, 0.9062
28, 0.4906, 0.9062
29, 0.4845, 0.9062
30, 0.4785, 0.9062
31, 0.4727, 0.9062
32, 0.4671, 0.9062
33, 0.4616, 0.9062
34, 0.4562, 0.9062
35, 0.451, 0.9062
36, 0.4459, 0.9062
37, 0.4409, 0.9062
38, 0.436, 0.9062
39, 0.4313, 0.9062
40, 0.4266, 0.9062
41, 0.4221, 0.9062
42, 0.4176, 0.9062
43, 0.4133, 0.9062
44, 0.4091, 0.9062
45, 0.4049, 0.9062
46, 0.4008, 0.9062
47, 0.3969, 0.9062
48, 0.393, 0.9062
49, 0.3892, 0.9062
50, 0.3854, 0.9062
51, 0.3818, 0.9062
52, 0.3782, 0.9062
53, 0.3747, 0.9062
54, 0.3713, 0.9062
55, 0.3679, 0.9062
56, 0.3646, 0.9062
57, 0.3613, 0.9062
58, 0.3581, 0.9062
59, 0.355, 0.9062
60, 0.352, 0.9062
61, 0.349, 0.9062
62, 0.346, 0.9062
63, 0.3431, 0.9062
64, 0.3403, 0.9062
65, 0.3375, 0.9062
66, 0.3347, 0.9062
67, 0.332, 0.9062
68, 0.3294, 0.9062
69, 0.3267, 0.9062
70, 0.3242, 0.9062
71, 0.3217, 0.9062
72, 0.3192, 0.9062
73, 0.3167, 0.9062
74, 0.3143, 0.9062
75, 0.312, 0.9062
76, 0.3097, 0.9062
77, 0.3074, 0.9062
78, 0.3051, 0.9062
79, 0.3029, 0.9062
80, 0.3007, 0.9062
81, 0.2986, 0.9062
82, 0.2965, 0.9062
83, 0.2944, 0.9062
84, 0.2923, 0.9062
85, 0.2903, 0.9062
86, 0.2883, 0.9062
87, 0.2864, 0.9062
88, 0.2844, 0.9062
89, 0.2825, 0.9062
90, 0.2806, 0.9062
91, 0.2788, 0.9062
92, 0.277, 0.9062
93, 0.2752, 0.9062
94, 0.2734, 0.9062
95, 0.2716, 0.9062
96, 0.2699, 0.9062
97, 0.2682, 0.9062
98, 0.2665, 0.9062
99, 0.2649, 0.9062
100, 0.2633, 0.9062
101, 0.6869, 0.75
