epoch, loss, accuracy
1, 3.4447, 0.5437
2, 3.5943, 0.5938
3, 3.3268, 0.5938
4, 3.1356, 0.5938
5, 2.8935, 0.5938
6, 2.6439, 0.5938
7, 2.407, 0.5938
8, 2.1668, 0.5938
9, 1.9211, 0.5938
10, 1.6745, 0.5938
11, 1.4288, 0.5938
12, 1.1906, 0.5938
13, 0.9782, 0.5938
14, 0.83, 0.5938
15, 0.7822, 0.5938
16, 0.7959, 0.5938
17, 0.7915, 0.5938
18, 0.7659, 0.5938
19, 0.7484, 0.5938
20, 0.7405, 0.5938
21, 0.7343, 0.5938
22, 0.7265, 0.5938
23, 0.7181, 0.5938
24, 0.7106, 0.5938
25, 0.7042, 0.5938
26, 0.6977, 0.5938
27, 0.6912, 0.5938
28, 0.6848, 0.5938
29, 0.6787, 0.5938
30, 0.6728, 0.5938
31, 0.6669, 0.5938
32, 0.6612, 0.5938
33, 0.6556, 0.5938
34, 0.6501, 0.5938
35, 0.6447, 0.5938
36, 0.6394, 0.5938
37, 0.6342, 0.5938
38, 0.6291, 0.5938
39, 0.6241, 0.5938
40, 0.6193, 0.5938
41, 0.6145, 0.5938
42, 0.6098, 0.5938
43, 0.6052, 0.5938
44, 0.6006, 0.8125
45, 0.5962, 0.8125
46, 0.5919, 0.8125
47, 0.5876, 0.8125
48, 0.5834, 0.8125
49, 0.5793, 0.8125
50, 0.5752, 0.8125
51, 0.5713, 0.8125
52, 0.5674, 0.8125
53, 0.5636, 0.8125
54, 0.5598, 0.8125
55, 0.5561, 0.8125
56, 0.5525, 0.8125
57, 0.549, 0.8125
58, 0.5455, 0.8125
59, 0.5421, 0.8125
60, 0.5387, 0.8125
61, 0.5354, 0.8125
62, 0.5321, 0.8125
63, 0.529, 0.8125
64, 0.5258, 0.8125
65, 0.5227, 0.8125
66, 0.5197, 0.8125
67, 0.5167, 0.8125
68, 0.5138, 0.8125
69, 0.5109, 0.8125
70, 0.5081, 0.8125
71, 0.5053, 0.8125
72, 0.5026, 0.8125
73, 0.4999, 0.8125
74, 0.4973, 0.8125
75, 0.4947, 0.8125
76, 0.4922, 0.8125
77, 0.4896, 0.8125
78, 0.4872, 0.8125
79, 0.4848, 0.8125
80, 0.4824, 0.8125
81, 0.48, 0.8125
82, 0.4777, 0.8125
83, 0.4755, 0.8125
84, 0.4732, 0.8125
85, 0.471, 0.8125
86, 0.4689, 0.8125
87, 0.4667, 0.8125
88, 0.4646, 0.8125
89, 0.4626, 0.8125
90, 0.4606, 0.8125
91, 0.4586, 0.8125
92, 0.4566, 0.8125
93, 0.4547, 0.8125
94, 0.4528, 0.8125
95, 0.4509, 0.8125
96, 0.449, 0.8125
97, 0.4472, 0.8125
98, 0.4454, 0.8125
99, 0.4437, 0.8125
100, 0.4419, 0.8125
101, 0.6063, 0.8438
