epoch, loss, accuracy
1, 6.2147, 0.3688
2, 6.1294, 0.3125
3, 5.2146, 0.3125
4, 4.3352, 0.3125
5, 3.4487, 0.3125
6, 2.5795, 0.3125
7, 1.7708, 0.3125
8, 1.1297, 0.3125
9, 0.7826, 0.6875
10, 0.6984, 0.625
11, 0.7173, 0.625
12, 0.7359, 0.625
13, 0.7299, 0.625
14, 0.7068, 0.625
15, 0.6808, 0.625
16, 0.6618, 0.625
17, 0.6517, 0.625
18, 0.6464, 0.625
19, 0.6417, 0.625
20, 0.6357, 0.625
21, 0.6292, 0.625
22, 0.6229, 0.625
23, 0.6171, 0.625
24, 0.6116, 0.625
25, 0.6062, 0.625
26, 0.6007, 0.625
27, 0.5953, 0.625
28, 0.5899, 0.625
29, 0.5847, 0.625
30, 0.5795, 0.75
31, 0.5744, 0.9375
32, 0.5693, 0.9375
33, 0.5643, 0.9375
34, 0.5594, 0.9375
35, 0.5545, 0.9375
36, 0.5497, 0.9375
37, 0.5449, 0.9375
38, 0.5402, 0.9375
39, 0.5356, 0.9375
40, 0.5311, 0.9375
41, 0.5266, 0.9375
42, 0.5221, 0.9375
43, 0.5178, 0.9375
44, 0.5135, 0.9375
45, 0.5092, 0.9375
46, 0.505, 0.9375
47, 0.5009, 0.9375
48, 0.4969, 0.9375
49, 0.4928, 0.9375
50, 0.4889, 0.9375
51, 0.5505, 0.9062
