epoch, loss, accuracy
1, 2.4924, 0.65
2, 2.5253, 0.8125
3, 2.3276, 0.8375
4, 2.1468, 0.8438
5, 1.9584, 0.8438
6, 1.7754, 0.8438
7, 1.5928, 0.8438
8, 1.4092, 0.8438
9, 1.2239, 0.8438
10, 1.038, 0.8438
11, 0.854, 0.8438
12, 0.6784, 0.8438
13, 0.5293, 0.8438
14, 0.4407, 0.8438
15, 0.4277, 0.8438
16, 0.4379, 0.8438
17, 0.426, 0.8438
18, 0.4083, 0.8438
19, 0.4003, 0.8438
20, 0.397, 0.8438
21, 0.3932, 0.8438
22, 0.3888, 0.8438
23, 0.3848, 0.8438
24, 0.3814, 0.8438
25, 0.3785, 0.8438
26, 0.3758, 0.8438
27, 0.3731, 0.8438
28, 0.3706, 0.8438
29, 0.3683, 0.8438
30, 0.3661, 0.8438
31, 0.364, 0.8438
32, 0.362, 0.8438
33, 0.3601, 0.8438
34, 0.3583, 0.8438
35, 0.3566, 0.8438
36, 0.355, 0.8438
37, 0.3534, 0.8438
38, 0.3519, 0.8438
39, 0.3505, 0.8438
40, 0.3491, 0.8438
41, 0.3478, 0.8438
42, 0.3465, 0.8438
43, 0.3453, 0.8438
44, 0.3441, 0.8438
45, 0.343, 0.8438
46, 0.3419, 0.8438
47, 0.3409, 0.8438
48, 0.3399, 0.8438
49, 0.3389, 0.8438
50, 0.338, 0.8438
51, 0.3371, 0.8438
52, 0.3362, 0.8438
53, 0.3354, 0.8438
54, 0.3346, 0.8438
55, 0.3338, 0.8438
56, 0.3331, 0.8438
57, 0.3323, 0.8438
58, 0.3316, 0.8438
59, 0.331, 0.8438
60, 0.3303, 0.8438
61, 0.3297, 0.8438
62, 0.329, 0.8438
63, 0.3285, 0.8438
64, 0.3279, 0.8438
65, 0.3273, 0.8438
66, 0.3268, 0.8438
67, 0.3262, 0.8438
68, 0.3257, 0.8438
69, 0.3252, 0.8438
70, 0.3247, 0.8438
71, 0.3243, 0.8438
72, 0.3238, 0.8438
73, 0.3233, 0.8438
74, 0.3229, 0.8438
75, 0.3225, 0.8438
76, 0.3221, 0.8438
77, 0.3217, 0.8438
78, 0.3213, 0.8438
79, 0.3209, 0.8438
80, 0.3205, 0.8438
81, 0.3202, 0.8438
82, 0.3198, 0.8438
83, 0.3195, 0.8438
84, 0.3191, 0.8438
85, 0.3188, 0.8438
86, 0.3185, 0.8438
87, 0.3182, 0.8438
88, 0.3179, 0.8438
89, 0.3176, 0.8438
90, 0.3173, 0.8438
91, 0.317, 0.8438
92, 0.3167, 0.8438
93, 0.3165, 0.8438
94, 0.3162, 0.8438
95, 0.316, 0.8438
96, 0.3157, 0.8438
97, 0.3155, 0.8438
98, 0.3152, 0.8438
99, 0.315, 0.8438
100, 0.3148, 0.8438
101, 0.3145, 0.8438
102, 0.3143, 0.8438
103, 0.3141, 0.8438
104, 0.3139, 0.8438
105, 0.3137, 0.8438
106, 0.3135, 0.8438
107, 0.3133, 0.8438
108, 0.3131, 0.8438
109, 0.3129, 0.8438
110, 0.3127, 0.8438
111, 0.3125, 0.8438
112, 0.3123, 0.8438
113, 0.3122, 0.8438
114, 0.312, 0.8438
115, 0.3118, 0.8438
116, 0.3117, 0.8438
117, 0.3115, 0.8438
118, 0.3113, 0.8438
119, 0.3112, 0.8438
120, 0.311, 0.8438
121, 0.3109, 0.8438
122, 0.3107, 0.8438
123, 0.3106, 0.8438
124, 0.3104, 0.8438
125, 0.3103, 0.8438
126, 0.3102, 0.8438
127, 0.31, 0.8438
128, 0.3099, 0.8438
129, 0.3098, 0.8438
130, 0.3096, 0.8438
131, 0.3095, 0.8438
132, 0.3094, 0.8438
133, 0.3093, 0.8438
134, 0.3091, 0.8438
135, 0.309, 0.8438
136, 0.3089, 0.8438
137, 0.3088, 0.8438
138, 0.3087, 0.8438
139, 0.3086, 0.8438
140, 0.3085, 0.8438
141, 0.3084, 0.8438
142, 0.3083, 0.8438
143, 0.3082, 0.8438
144, 0.3081, 0.8438
145, 0.308, 0.8438
146, 0.3079, 0.8438
147, 0.3078, 0.8438
148, 0.3077, 0.8438
149, 0.3076, 0.8438
150, 0.3075, 0.8438
151, 0.3074, 0.8438
152, 0.3073, 0.8438
153, 0.3072, 0.8438
154, 0.3071, 0.8438
155, 0.307, 0.8438
156, 0.307, 0.8438
157, 0.3069, 0.8438
158, 0.3068, 0.8438
159, 0.3067, 0.8438
160, 0.3066, 0.8438
161, 0.3065, 0.8438
162, 0.3065, 0.8438
163, 0.3064, 0.8438
164, 0.3063, 0.8438
165, 0.3062, 0.8438
166, 0.3062, 0.8438
167, 0.3061, 0.8438
168, 0.306, 0.8438
169, 0.306, 0.8438
170, 0.3059, 0.8438
171, 0.3058, 0.8438
172, 0.3058, 0.8438
173, 0.3057, 0.8438
174, 0.3056, 0.8438
175, 0.3056, 0.8438
176, 0.3055, 0.8438
177, 0.3054, 0.8438
178, 0.3054, 0.8438
179, 0.3053, 0.8438
180, 0.3053, 0.8438
181, 0.3052, 0.8438
182, 0.3051, 0.8438
183, 0.3051, 0.8438
184, 0.305, 0.8438
185, 0.305, 0.8438
186, 0.3049, 0.8438
187, 0.3049, 0.8438
188, 0.3048, 0.8438
189, 0.3048, 0.8438
190, 0.3047, 0.8438
191, 0.3046, 0.8438
192, 0.3046, 0.8438
193, 0.3045, 0.8438
194, 0.3045, 0.8438
195, 0.3044, 0.8438
196, 0.3044, 0.8438
197, 0.3043, 0.8438
198, 0.3043, 0.8438
199, 0.3043, 0.8438
200, 0.3042, 0.8438
201, 0.3042, 0.8438
202, 0.3041, 0.8438
203, 0.3041, 0.8438
204, 0.304, 0.8438
205, 0.304, 0.8438
206, 0.3039, 0.8438
207, 0.3039, 0.8438
208, 0.3039, 0.8438
209, 0.3038, 0.8438
210, 0.3038, 0.8438
211, 0.3037, 0.8438
212, 0.3037, 0.8438
213, 0.3036, 0.8438
214, 0.3036, 0.8438
215, 0.3036, 0.8438
216, 0.3035, 0.8438
217, 0.3035, 0.8438
218, 0.3035, 0.8438
219, 0.3034, 0.8438
220, 0.3034, 0.8438
221, 0.3033, 0.8438
222, 0.3033, 0.8438
223, 0.3033, 0.8438
224, 0.3032, 0.8438
225, 0.3032, 0.8438
226, 0.3032, 0.8438
227, 0.3031, 0.8438
228, 0.3031, 0.8438
229, 0.3031, 0.8438
230, 0.303, 0.8438
231, 0.303, 0.8438
232, 0.303, 0.8438
233, 0.3029, 0.8438
234, 0.3029, 0.8438
235, 0.3029, 0.8438
236, 0.3028, 0.8438
237, 0.3028, 0.8438
238, 0.3028, 0.8438
239, 0.3027, 0.8438
240, 0.3027, 0.8438
241, 0.3027, 0.8438
242, 0.3027, 0.8438
243, 0.3026, 0.8438
244, 0.3026, 0.8438
245, 0.3026, 0.8438
246, 0.3025, 0.8438
247, 0.3025, 0.8438
248, 0.3025, 0.8438
249, 0.3025, 0.8438
250, 0.3024, 0.8438
251, 0.3024, 0.8438
252, 0.3024, 0.8438
253, 0.3024, 0.8438
254, 0.3023, 0.8438
255, 0.3023, 0.8438
256, 0.3023, 0.8438
257, 0.3022, 0.8438
258, 0.3022, 0.8438
259, 0.3022, 0.8438
260, 0.3022, 0.8438
261, 0.3021, 0.8438
262, 0.3021, 0.8438
263, 0.3021, 0.8438
264, 0.3021, 0.8438
265, 0.3021, 0.8438
266, 0.302, 0.8438
267, 0.302, 0.8438
268, 0.302, 0.8438
269, 0.302, 0.8438
270, 0.3019, 0.8438
271, 0.3019, 0.8438
272, 0.3019, 0.8438
273, 0.3019, 0.8438
274, 0.3019, 0.8438
275, 0.3018, 0.8438
276, 0.3018, 0.8438
277, 0.3018, 0.8438
278, 0.3018, 0.8438
279, 0.3017, 0.8438
280, 0.3017, 0.8438
281, 0.3017, 0.8438
282, 0.3017, 0.8438
283, 0.3017, 0.8438
284, 0.3016, 0.8438
285, 0.3016, 0.8438
286, 0.3016, 0.8438
287, 0.3016, 0.8438
288, 0.3016, 0.8438
289, 0.3015, 0.8438
290, 0.3015, 0.8438
291, 0.3015, 0.8438
292, 0.3015, 0.8438
293, 0.3015, 0.8438
294, 0.3015, 0.8438
295, 0.3014, 0.8438
296, 0.3014, 0.8438
297, 0.3014, 0.8438
298, 0.3014, 0.8438
299, 0.3014, 0.8438
300, 0.3014, 0.8438
301, 0.3013, 0.8438
302, 0.3013, 0.8438
303, 0.3013, 0.8438
304, 0.3013, 0.8438
305, 0.3013, 0.8438
306, 0.3013, 0.8438
307, 0.3012, 0.8438
308, 0.3012, 0.8438
309, 0.3012, 0.8438
310, 0.3012, 0.8438
311, 0.3012, 0.8438
312, 0.3012, 0.8438
313, 0.3011, 0.8438
314, 0.3011, 0.8438
315, 0.3011, 0.8438
316, 0.3011, 0.8438
317, 0.3011, 0.8438
318, 0.3011, 0.8438
319, 0.301, 0.8438
320, 0.301, 0.8438
321, 0.301, 0.8438
322, 0.301, 0.8438
323, 0.301, 0.8438
324, 0.301, 0.8438
325, 0.301, 0.8438
326, 0.3009, 0.8438
327, 0.3009, 0.8438
328, 0.3009, 0.8438
329, 0.3009, 0.8438
330, 0.3009, 0.8438
331, 0.3009, 0.8438
332, 0.3009, 0.8438
333, 0.3009, 0.8438
334, 0.3008, 0.8438
335, 0.3008, 0.8438
336, 0.3008, 0.8438
337, 0.3008, 0.8438
338, 0.3008, 0.8438
339, 0.3008, 0.8438
340, 0.3008, 0.8438
341, 0.3008, 0.8438
342, 0.3007, 0.8438
343, 0.3007, 0.8438
344, 0.3007, 0.8438
345, 0.3007, 0.8438
346, 0.3007, 0.8438
347, 0.3007, 0.8438
348, 0.3007, 0.8438
349, 0.3007, 0.8438
350, 0.3006, 0.8438
351, 0.3006, 0.8438
352, 0.3006, 0.8438
353, 0.3006, 0.8438
354, 0.3006, 0.8438
355, 0.3006, 0.8438
356, 0.3006, 0.8438
357, 0.3006, 0.8438
358, 0.3006, 0.8438
359, 0.3005, 0.8438
360, 0.3005, 0.8438
361, 0.3005, 0.8438
362, 0.3005, 0.8438
363, 0.3005, 0.8438
364, 0.3005, 0.8438
365, 0.3005, 0.8438
366, 0.3005, 0.8438
367, 0.3005, 0.8438
368, 0.3004, 0.8438
369, 0.3004, 0.8438
370, 0.3004, 0.8438
371, 0.3004, 0.8438
372, 0.3004, 0.8438
373, 0.3004, 0.8438
374, 0.3004, 0.8438
375, 0.3004, 0.8438
376, 0.3004, 0.8438
377, 0.3004, 0.8438
378, 0.3003, 0.8438
379, 0.3003, 0.8438
380, 0.3003, 0.8438
381, 0.3003, 0.8438
382, 0.3003, 0.8438
383, 0.3003, 0.8438
384, 0.3003, 0.8438
385, 0.3003, 0.8438
386, 0.3003, 0.8438
387, 0.3003, 0.8438
388, 0.3003, 0.8438
389, 0.3002, 0.8438
390, 0.3002, 0.8438
391, 0.3002, 0.8438
392, 0.3002, 0.8438
393, 0.3002, 0.8438
394, 0.3002, 0.8438
395, 0.3002, 0.8438
396, 0.3002, 0.8438
397, 0.3002, 0.8438
398, 0.3002, 0.8438
399, 0.3002, 0.8438
400, 0.3002, 0.8438
401, 0.3001, 0.8438
402, 0.3001, 0.8438
403, 0.3001, 0.8438
404, 0.3001, 0.8438
405, 0.3001, 0.8438
406, 0.3001, 0.8438
407, 0.3001, 0.8438
408, 0.3001, 0.8438
409, 0.3001, 0.8438
410, 0.3001, 0.8438
411, 0.3001, 0.8438
412, 0.3001, 0.8438
413, 0.3, 0.8438
414, 0.3, 0.8438
415, 0.3, 0.8438
416, 0.3, 0.8438
417, 0.3, 0.8438
418, 0.3, 0.8438
419, 0.3, 0.8438
420, 0.3, 0.8438
421, 0.3, 0.8438
422, 0.3, 0.8438
423, 0.3, 0.8438
424, 0.3, 0.8438
425, 0.3, 0.8438
426, 0.3, 0.8438
427, 0.2999, 0.8438
428, 0.2999, 0.8438
429, 0.2999, 0.8438
430, 0.2999, 0.8438
431, 0.2999, 0.8438
432, 0.2999, 0.8438
433, 0.2999, 0.8438
434, 0.2999, 0.8438
435, 0.2999, 0.8438
436, 0.2999, 0.8438
437, 0.2999, 0.8438
438, 0.2999, 0.8438
439, 0.2999, 0.8438
440, 0.2999, 0.8438
441, 0.2999, 0.8438
442, 0.2998, 0.8438
443, 0.2998, 0.8438
444, 0.2998, 0.8438
445, 0.2998, 0.8438
446, 0.2998, 0.8438
447, 0.2998, 0.8438
448, 0.2998, 0.8438
449, 0.2998, 0.8438
450, 0.2998, 0.8438
451, 0.2998, 0.8438
452, 0.2998, 0.8438
453, 0.2998, 0.8438
454, 0.2998, 0.8438
455, 0.2998, 0.8438
456, 0.2998, 0.8438
457, 0.2998, 0.8438
458, 0.2997, 0.8438
459, 0.2997, 0.8438
460, 0.2997, 0.8438
461, 0.2997, 0.8438
462, 0.2997, 0.8438
463, 0.2997, 0.8438
464, 0.2997, 0.8438
465, 0.2997, 0.8438
466, 0.2997, 0.8438
467, 0.2997, 0.8438
468, 0.2997, 0.8438
469, 0.2997, 0.8438
470, 0.2997, 0.8438
471, 0.2997, 0.8438
472, 0.2997, 0.8438
473, 0.2997, 0.8438
474, 0.2997, 0.8438
475, 0.2997, 0.8438
476, 0.2996, 0.8438
477, 0.2996, 0.8438
478, 0.2996, 0.8438
479, 0.2996, 0.8438
480, 0.2996, 0.8438
481, 0.2996, 0.8438
482, 0.2996, 0.8438
483, 0.2996, 0.8438
484, 0.2996, 0.8438
485, 0.2996, 0.8438
486, 0.2996, 0.8438
487, 0.2996, 0.8438
488, 0.2996, 0.8438
489, 0.2996, 0.8438
490, 0.2996, 0.8438
491, 0.2996, 0.8438
492, 0.2996, 0.8438
493, 0.2996, 0.8438
494, 0.2996, 0.8438
495, 0.2996, 0.8438
496, 0.2995, 0.8438
497, 0.2995, 0.8438
498, 0.2995, 0.8438
499, 0.2995, 0.8438
500, 0.2995, 0.8438
501, 0.219, 1.0
