epoch, loss, accuracy
1, 4.6242, 0.4938
2, 4.8721, 0.5625
3, 4.3305, 0.5625
4, 3.7732, 0.5625
5, 3.2108, 0.5625
6, 2.6488, 0.5625
7, 2.0966, 0.5625
8, 1.5817, 0.5625
9, 1.1763, 0.5625
10, 0.9784, 0.5625
11, 0.9591, 0.4875
12, 0.9544, 0.4625
13, 0.8972, 0.4688
14, 0.8757, 0.5688
15, 0.8481, 0.5625
16, 0.8718, 0.5625
17, 0.8711, 0.5625
18, 0.8598, 0.5625
19, 0.8534, 0.5625
20, 0.851, 0.5625
21, 0.8491, 0.5625
22, 0.8461, 0.5625
23, 0.8427, 0.5625
24, 0.8397, 0.5625
25, 0.8371, 0.5625
26, 0.8263, 0.5625
27, 0.7914, 0.5625
28, 0.7954, 0.5625
29, 0.7888, 0.5625
30, 0.7331, 0.5625
31, 0.7323, 0.7563
32, 0.7299, 0.8062
33, 0.7209, 0.8188
34, 0.706, 0.7937
35, 0.6686, 0.875
36, 0.6481, 0.85
37, 0.6177, 0.9062
38, 0.592, 0.8938
39, 0.5801, 0.9062
40, 0.575, 0.9
41, 0.566, 0.8875
42, 0.5653, 0.9
43, 0.5423, 0.9062
44, 0.5271, 0.8938
45, 0.5149, 0.9062
46, 0.5158, 0.9062
47, 0.5124, 0.9062
48, 0.5039, 0.9062
49, 0.4966, 0.9062
50, 0.4877, 0.9062
51, 0.6238, 0.75
