epoch, loss, accuracy
1, 3.05, 0.5
2, 2.8624, 0.5938
3, 2.3962, 0.5938
4, 1.9867, 0.5938
5, 1.7528, 0.5938
6, 1.7101, 0.4437
7, 1.6709, 0.3438
8, 1.5649, 0.4938
9, 1.4657, 0.5938
10, 1.3965, 0.5938
11, 1.3275, 0.5938
12, 1.2494, 0.5938
13, 1.1728, 0.5938
14, 1.1014, 0.5938
15, 1.032, 0.5938
16, 0.9681, 0.5938
17, 0.9178, 0.5938
18, 0.889, 0.5938
19, 0.8834, 0.5938
20, 0.8885, 0.5938
21, 0.8892, 0.5938
22, 0.8852, 0.5938
23, 0.8827, 0.5938
24, 0.8825, 0.5938
25, 0.8829, 0.5938
26, 0.8828, 0.5938
27, 0.8825, 0.5938
28, 0.8823, 0.5938
29, 0.8823, 0.5938
30, 0.8823, 0.5938
31, 0.8823, 0.5938
32, 0.8822, 0.5938
33, 0.8822, 0.5938
34, 0.8822, 0.5938
35, 0.8822, 0.5938
36, 0.8821, 0.5938
37, 0.8821, 0.5938
38, 0.8821, 0.5938
39, 0.8821, 0.5938
40, 0.8821, 0.5938
41, 0.8821, 0.5938
42, 0.8821, 0.5938
43, 0.882, 0.5938
44, 0.882, 0.5938
45, 0.882, 0.5938
46, 0.882, 0.5938
47, 0.882, 0.5938
48, 0.882, 0.5938
49, 0.8819, 0.5938
50, 0.8819, 0.5938
51, 0.8819, 0.5938
52, 0.8819, 0.5938
53, 0.8819, 0.5938
54, 0.8819, 0.5938
55, 0.8818, 0.5938
56, 0.8818, 0.5938
57, 0.8818, 0.5938
58, 0.8818, 0.5938
59, 0.8818, 0.5938
60, 0.8818, 0.5938
61, 0.8818, 0.5938
62, 0.8817, 0.5938
63, 0.8817, 0.5938
64, 0.8817, 0.5938
65, 0.8817, 0.5938
66, 0.8817, 0.5938
67, 0.8817, 0.5938
68, 0.8816, 0.5938
69, 0.8816, 0.5938
70, 0.8816, 0.5938
71, 0.8816, 0.5938
72, 0.8816, 0.5938
73, 0.8816, 0.5938
74, 0.8815, 0.5938
75, 0.8815, 0.5938
76, 0.8815, 0.5938
77, 0.8815, 0.5938
78, 0.8815, 0.5938
79, 0.8815, 0.5938
80, 0.8814, 0.5938
81, 0.8814, 0.5938
82, 0.8814, 0.5938
83, 0.8814, 0.5938
84, 0.8814, 0.5938
85, 0.8814, 0.5938
86, 0.8813, 0.5938
87, 0.8813, 0.5938
88, 0.8813, 0.5938
89, 0.8813, 0.5938
90, 0.8813, 0.5938
91, 0.8813, 0.5938
92, 0.8813, 0.5938
93, 0.8812, 0.5938
94, 0.8812, 0.5938
95, 0.8812, 0.5938
96, 0.8812, 0.5938
97, 0.8812, 0.5938
98, 0.8812, 0.5938
99, 0.8811, 0.5938
100, 0.8811, 0.5938
101, 0.8382, 0.5625
