epoch, loss, accuracy
1, 5.295, 0.4313
2, 5.6277, 0.375
3, 4.8147, 0.375
4, 4.0064, 0.375
5, 3.1998, 0.375
6, 2.4285, 0.375
7, 1.7454, 0.375
8, 1.2587, 0.475
9, 1.0251, 0.875
10, 0.9464, 0.575
11, 0.8854, 0.5
12, 0.8001, 0.5
13, 0.712, 0.65
14, 0.6526, 0.875
15, 0.6295, 0.875
16, 0.6247, 0.875
17, 0.6185, 0.875
18, 0.6068, 0.875
19, 0.5944, 0.875
20, 0.5845, 0.875
21, 0.5766, 0.875
22, 0.5692, 0.875
23, 0.5619, 0.875
24, 0.5546, 0.875
25, 0.5476, 0.875
26, 0.541, 0.875
27, 0.5346, 0.875
28, 0.5285, 0.875
29, 0.5225, 0.875
30, 0.5167, 0.875
31, 0.5111, 0.875
32, 0.5057, 0.875
33, 0.5005, 0.875
34, 0.4954, 0.875
35, 0.4905, 0.875
36, 0.4858, 0.875
37, 0.4812, 0.875
38, 0.4767, 0.875
39, 0.4724, 0.875
40, 0.4682, 0.875
41, 0.4642, 0.875
42, 0.4602, 0.875
43, 0.4564, 0.875
44, 0.4527, 0.875
45, 0.4492, 0.875
46, 0.4457, 0.875
47, 0.4423, 0.875
48, 0.439, 0.875
49, 0.4359, 0.875
50, 0.4328, 0.875
51, 0.6098, 0.7812
