epoch, loss, accuracy
1, 2.602, 0.475
2, 2.3248, 0.5312
3, 1.974, 0.5312
4, 1.8382, 0.6875
5, 1.7949, 0.6625
6, 1.6741, 0.8562
7, 1.5707, 0.8813
8, 1.4886, 0.8313
9, 1.4127, 0.5312
10, 1.3281, 0.7563
11, 1.2445, 0.9062
12, 1.1634, 0.9062
13, 1.0818, 0.9062
14, 0.9992, 0.9062
15, 0.918, 0.9062
16, 0.8397, 0.9062
17, 0.7674, 0.9062
18, 0.708, 0.9062
19, 0.6704, 0.9062
20, 0.6573, 0.9062
21, 0.6561, 0.9062
22, 0.6505, 0.9062
23, 0.6401, 0.9062
24, 0.6313, 0.9062
25, 0.6252, 0.9062
26, 0.6197, 0.9062
27, 0.6139, 0.9062
28, 0.6079, 0.9062
29, 0.6022, 0.9062
30, 0.5968, 0.9062
31, 0.5915, 0.9062
32, 0.5862, 0.9062
33, 0.5811, 0.9062
34, 0.5761, 0.9062
35, 0.5712, 0.9062
36, 0.5663, 0.9062
37, 0.5616, 0.9062
38, 0.557, 0.9062
39, 0.5524, 0.9062
40, 0.548, 0.9062
41, 0.5436, 0.9062
42, 0.5393, 0.9062
43, 0.5351, 0.9062
44, 0.5309, 0.9062
45, 0.5269, 0.9062
46, 0.5229, 0.9062
47, 0.519, 0.9062
48, 0.5152, 0.9062
49, 0.5114, 0.9062
50, 0.5077, 0.9062
51, 0.5041, 0.9062
52, 0.5005, 0.9062
53, 0.497, 0.9062
54, 0.4936, 0.9062
55, 0.4902, 0.9062
56, 0.4869, 0.9062
57, 0.4836, 0.9062
58, 0.4804, 0.9062
59, 0.4773, 0.9062
60, 0.4742, 0.9062
61, 0.4712, 0.9062
62, 0.4682, 0.9062
63, 0.4653, 0.9062
64, 0.4624, 0.9062
65, 0.4596, 0.9062
66, 0.4568, 0.9062
67, 0.4541, 0.9062
68, 0.4514, 0.9062
69, 0.4487, 0.9062
70, 0.4461, 0.9062
71, 0.4436, 0.9062
72, 0.4411, 0.9062
73, 0.4386, 0.9062
74, 0.4362, 0.9062
75, 0.4338, 0.9062
76, 0.4315, 0.9062
77, 0.4292, 0.9062
78, 0.4269, 0.9062
79, 0.4247, 0.9062
80, 0.4225, 0.9062
81, 0.4203, 0.9062
82, 0.4182, 0.9062
83, 0.4161, 0.9062
84, 0.4141, 0.9062
85, 0.412, 0.9062
86, 0.4101, 0.9062
87, 0.4081, 0.9062
88, 0.4062, 0.9062
89, 0.4043, 0.9062
90, 0.4024, 0.9062
91, 0.4006, 0.9062
92, 0.3988, 0.9062
93, 0.397, 0.9062
94, 0.3952, 0.9062
95, 0.3935, 0.9062
96, 0.3918, 0.9062
97, 0.3901, 0.9062
98, 0.3885, 0.9062
99, 0.3869, 0.9062
100, 0.3853, 0.9062
101, 0.3837, 0.9062
102, 0.3821, 0.9062
103, 0.3806, 0.9062
104, 0.3791, 0.9062
105, 0.3776, 0.9062
106, 0.3762, 0.9062
107, 0.3747, 0.9062
108, 0.3733, 0.9062
109, 0.3719, 0.9062
110, 0.3705, 0.9062
111, 0.3692, 0.9062
112, 0.3678, 0.9062
113, 0.3665, 0.9062
114, 0.3652, 0.9062
115, 0.3639, 0.9062
116, 0.3627, 0.9062
117, 0.3614, 0.9062
118, 0.3602, 0.9062
119, 0.359, 0.9062
120, 0.3578, 0.9062
121, 0.3566, 0.9062
122, 0.3555, 0.9062
123, 0.3543, 0.9062
124, 0.3532, 0.9062
125, 0.3521, 0.9062
126, 0.351, 0.9062
127, 0.3499, 0.9062
128, 0.3488, 0.9062
129, 0.3478, 0.9062
130, 0.3467, 0.9062
131, 0.3457, 0.9062
132, 0.3447, 0.9062
133, 0.3437, 0.9062
134, 0.3427, 0.9062
135, 0.3417, 0.9062
136, 0.3408, 0.9062
137, 0.3398, 0.9062
138, 0.3389, 0.9062
139, 0.338, 0.9062
140, 0.337, 0.9062
141, 0.3361, 0.9062
142, 0.3353, 0.9062
143, 0.3344, 0.9062
144, 0.3335, 0.9062
145, 0.3327, 0.9062
146, 0.3318, 0.9062
147, 0.331, 0.9062
148, 0.3301, 0.9062
149, 0.3293, 0.9062
150, 0.3285, 0.9062
151, 0.3277, 0.9062
152, 0.327, 0.9062
153, 0.3262, 0.9062
154, 0.3254, 0.9062
155, 0.3247, 0.9062
156, 0.3239, 0.9062
157, 0.3232, 0.9062
158, 0.3224, 0.9062
159, 0.3217, 0.9062
160, 0.321, 0.9062
161, 0.3203, 0.9062
162, 0.3196, 0.9062
163, 0.3189, 0.9062
164, 0.3183, 0.9062
165, 0.3176, 0.9062
166, 0.3169, 0.9062
167, 0.3163, 0.9062
168, 0.3156, 0.9062
169, 0.315, 0.9062
170, 0.3143, 0.9062
171, 0.3137, 0.9062
172, 0.3131, 0.9062
173, 0.3125, 0.9062
174, 0.3119, 0.9062
175, 0.3113, 0.9062
176, 0.3107, 0.9062
177, 0.3101, 0.9062
178, 0.3095, 0.9062
179, 0.309, 0.9062
180, 0.3084, 0.9062
181, 0.3078, 0.9062
182, 0.3073, 0.9062
183, 0.3068, 0.9062
184, 0.3062, 0.9062
185, 0.3057, 0.9062
186, 0.3051, 0.9062
187, 0.3046, 0.9062
188, 0.3041, 0.9062
189, 0.3036, 0.9062
190, 0.3031, 0.9062
191, 0.3028, 0.9062
192, 0.3938, 0.9062
193, 0.4024, 0.9062
194, 0.441, 0.8625
195, 0.4388, 0.9062
196, 0.4378, 0.9062
197, 0.4377, 0.9062
198, 0.4283, 0.9062
199, 0.4274, 0.9062
200, 0.4224, 0.9062
201, 0.4215, 0.9062
202, 0.4186, 0.9062
203, 0.4173, 0.9062
204, 0.4154, 0.9062
205, 0.4139, 0.9062
206, 0.4123, 0.9062
207, 0.4109, 0.9062
208, 0.4094, 0.9062
209, 0.408, 0.9062
210, 0.4065, 0.9062
211, 0.4052, 0.9062
212, 0.4038, 0.9062
213, 0.4024, 0.9062
214, 0.4011, 0.9062
215, 0.3998, 0.9062
216, 0.3985, 0.9062
217, 0.3972, 0.9062
218, 0.396, 0.9062
219, 0.3947, 0.9062
220, 0.3935, 0.9062
221, 0.3923, 0.9062
222, 0.3911, 0.9062
223, 0.3899, 0.9062
224, 0.3887, 0.9062
225, 0.3876, 0.9062
226, 0.3865, 0.9062
227, 0.3853, 0.9062
228, 0.3842, 0.9062
229, 0.3831, 0.9062
230, 0.382, 0.9062
231, 0.381, 0.9062
232, 0.3799, 0.9062
233, 0.3789, 0.9062
234, 0.3778, 0.9062
235, 0.3768, 0.9062
236, 0.3758, 0.9062
237, 0.3748, 0.9062
238, 0.3738, 0.9062
239, 0.3729, 0.9062
240, 0.3719, 0.9062
241, 0.3709, 0.9062
242, 0.37, 0.9062
243, 0.3691, 0.9062
244, 0.3681, 0.9062
245, 0.3672, 0.9062
246, 0.3663, 0.9062
247, 0.3654, 0.9062
248, 0.3646, 0.9062
249, 0.3637, 0.9062
250, 0.3628, 0.9062
251, 0.362, 0.9062
252, 0.3611, 0.9062
253, 0.3603, 0.9062
254, 0.3595, 0.9062
255, 0.3587, 0.9062
256, 0.3578, 0.9062
257, 0.357, 0.9062
258, 0.3563, 0.9062
259, 0.3555, 0.9062
260, 0.3547, 0.9062
261, 0.3539, 0.9062
262, 0.3532, 0.9062
263, 0.3524, 0.9062
264, 0.3517, 0.9062
265, 0.3509, 0.9062
266, 0.3502, 0.9062
267, 0.3495, 0.9062
268, 0.3487, 0.9062
269, 0.348, 0.9062
270, 0.3473, 0.9062
271, 0.3466, 0.9062
272, 0.3459, 0.9062
273, 0.3453, 0.9062
274, 0.3446, 0.9062
275, 0.3439, 0.9062
276, 0.3433, 0.9062
277, 0.3426, 0.9062
278, 0.3419, 0.9062
279, 0.3413, 0.9062
280, 0.3407, 0.9062
281, 0.34, 0.9062
282, 0.3394, 0.9062
283, 0.3388, 0.9062
284, 0.3382, 0.9062
285, 0.3376, 0.9062
286, 0.3369, 0.9062
287, 0.3363, 0.9062
288, 0.3358, 0.9062
289, 0.3352, 0.9062
290, 0.3346, 0.9062
291, 0.334, 0.9062
292, 0.3334, 0.9062
293, 0.3329, 0.9062
294, 0.3323, 0.9062
295, 0.3317, 0.9062
296, 0.3312, 0.9062
297, 0.3306, 0.9062
298, 0.3301, 0.9062
299, 0.3296, 0.9062
300, 0.329, 0.9062
301, 0.3285, 0.9062
302, 0.328, 0.9062
303, 0.3274, 0.9062
304, 0.3269, 0.9062
305, 0.3264, 0.9062
306, 0.3259, 0.9062
307, 0.3254, 0.9062
308, 0.3249, 0.9062
309, 0.3244, 0.9062
310, 0.3239, 0.9062
311, 0.3234, 0.9062
312, 0.3229, 0.9062
313, 0.3225, 0.9062
314, 0.322, 0.9062
315, 0.3215, 0.9062
316, 0.3211, 0.9062
317, 0.3206, 0.9062
318, 0.3201, 0.9062
319, 0.3197, 0.9062
320, 0.3192, 0.9062
321, 0.3188, 0.9062
322, 0.3183, 0.9062
323, 0.3179, 0.9062
324, 0.3174, 0.9062
325, 0.317, 0.9062
326, 0.3166, 0.9062
327, 0.3161, 0.9062
328, 0.3157, 0.9062
329, 0.3153, 0.9062
330, 0.3149, 0.9062
331, 0.3145, 0.9062
332, 0.314, 0.9062
333, 0.3136, 0.9062
334, 0.3132, 0.9062
335, 0.3128, 0.9062
336, 0.3124, 0.9062
337, 0.312, 0.9062
338, 0.3116, 0.9062
339, 0.3112, 0.9062
340, 0.3109, 0.9062
341, 0.3105, 0.9062
342, 0.3101, 0.9062
343, 0.3097, 0.9062
344, 0.3093, 0.9062
345, 0.309, 0.9062
346, 0.3086, 0.9062
347, 0.3082, 0.9062
348, 0.3079, 0.9062
349, 0.3075, 0.9062
350, 0.3071, 0.9062
351, 0.3068, 0.9062
352, 0.3064, 0.9062
353, 0.3061, 0.9062
354, 0.3057, 0.9062
355, 0.3054, 0.9062
356, 0.305, 0.9062
357, 0.3047, 0.9062
358, 0.3043, 0.9062
359, 0.304, 0.9062
360, 0.3037, 0.9062
361, 0.3033, 0.9062
362, 0.303, 0.9062
363, 0.3027, 0.9062
364, 0.3024, 0.9062
365, 0.302, 0.9062
366, 0.3017, 0.9062
367, 0.3014, 0.9062
368, 0.3011, 0.9062
369, 0.3008, 0.9062
370, 0.3004, 0.9062
371, 0.3001, 0.9062
372, 0.2998, 0.9062
373, 0.2995, 0.9062
374, 0.2992, 0.9062
375, 0.2989, 0.9062
376, 0.2986, 0.9062
377, 0.2983, 0.9062
378, 0.298, 0.9062
379, 0.2977, 0.9062
380, 0.2974, 0.9062
381, 0.2971, 0.9062
382, 0.2968, 0.9062
383, 0.2966, 0.9062
384, 0.2963, 0.9062
385, 0.296, 0.9062
386, 0.2957, 0.9062
387, 0.2954, 0.9062
388, 0.2952, 0.9062
389, 0.2949, 0.9062
390, 0.2946, 0.9062
391, 0.2943, 0.9062
392, 0.2941, 0.9062
393, 0.2938, 0.9062
394, 0.2935, 0.9062
395, 0.2933, 0.9062
396, 0.293, 0.9062
397, 0.2927, 0.9062
398, 0.2925, 0.9062
399, 0.2922, 0.9062
400, 0.292, 0.9062
401, 0.2917, 0.9062
402, 0.2915, 0.9062
403, 0.2912, 0.9062
404, 0.291, 0.9062
405, 0.2907, 0.9062
406, 0.2905, 0.9062
407, 0.2902, 0.9062
408, 0.29, 0.9062
409, 0.2897, 0.9062
410, 0.2895, 0.9062
411, 0.2892, 0.9062
412, 0.289, 0.9062
413, 0.2888, 0.9062
414, 0.2885, 0.9062
415, 0.2883, 0.9062
416, 0.2881, 0.9062
417, 0.2878, 0.9062
418, 0.2876, 0.9062
419, 0.2874, 0.9062
420, 0.2871, 0.9062
421, 0.2869, 0.9062
422, 0.2867, 0.9062
423, 0.2865, 0.9062
424, 0.2863, 0.9062
425, 0.286, 0.9062
426, 0.2858, 0.9062
427, 0.2856, 0.9062
428, 0.2854, 0.9062
429, 0.2852, 0.9062
430, 0.285, 0.9062
431, 0.2847, 0.9062
432, 0.2845, 0.9062
433, 0.2843, 0.9062
434, 0.2841, 0.9062
435, 0.2839, 0.9062
436, 0.2837, 0.9062
437, 0.2835, 0.9062
438, 0.2833, 0.9062
439, 0.2831, 0.9062
440, 0.2829, 0.9062
441, 0.2827, 0.9062
442, 0.2825, 0.9062
443, 0.2823, 0.9062
444, 0.2821, 0.9062
445, 0.2819, 0.9062
446, 0.2817, 0.9062
447, 0.2815, 0.9062
448, 0.2813, 0.9062
449, 0.2811, 0.9062
450, 0.2809, 0.9062
451, 0.2807, 0.9062
452, 0.2806, 0.9062
453, 0.2804, 0.9062
454, 0.2802, 0.9062
455, 0.28, 0.9062
456, 0.2798, 0.9062
457, 0.2796, 0.9062
458, 0.2794, 0.9062
459, 0.2793, 0.9062
460, 0.2791, 0.9062
461, 0.2789, 0.9062
462, 0.2787, 0.9062
463, 0.2786, 0.9062
464, 0.2784, 0.9062
465, 0.2782, 0.9062
466, 0.278, 0.9062
467, 0.2779, 0.9062
468, 0.2777, 0.9062
469, 0.2775, 0.9062
470, 0.2773, 0.9062
471, 0.2772, 0.9062
472, 0.277, 0.9062
473, 0.2768, 0.9062
474, 0.2767, 0.9062
475, 0.2765, 0.9062
476, 0.2763, 0.9062
477, 0.2762, 0.9062
478, 0.276, 0.9062
479, 0.2758, 0.9062
480, 0.2757, 0.9062
481, 0.2755, 0.9062
482, 0.2754, 0.9062
483, 0.2752, 0.9062
484, 0.2751, 0.9062
485, 0.2749, 0.9062
486, 0.2747, 0.9062
487, 0.2746, 0.9062
488, 0.2744, 0.9062
489, 0.2743, 0.9062
490, 0.2741, 0.9062
491, 0.274, 0.9062
492, 0.2738, 0.9062
493, 0.2737, 0.9062
494, 0.2735, 0.9062
495, 0.2734, 0.9062
496, 0.2732, 0.9062
497, 0.2731, 0.9062
498, 0.2729, 0.9062
499, 0.2728, 0.9062
500, 0.2726, 0.9062
501, 0.3298, 0.9062
