epoch, loss, accuracy
1, 1.4621, 0.65
2, 1.305, 0.9062
3, 1.2281, 0.9375
4, 1.1538, 0.9375
5, 1.0811, 0.9375
6, 0.9988, 0.9375
7, 0.9071, 0.9375
8, 0.8535, 0.9375
9, 0.7835, 0.9375
10, 0.7274, 0.9375
11, 0.668, 0.9375
12, 0.6041, 0.9375
13, 0.5417, 0.9375
14, 0.4817, 0.9375
15, 0.424, 0.9375
16, 0.3709, 0.9375
17, 0.3289, 0.9375
18, 0.3059, 0.9375
19, 0.3007, 0.9375
20, 0.2995, 0.9375
21, 0.2938, 0.9375
22, 0.2869, 0.9375
23, 0.282, 0.9375
24, 0.2787, 0.9375
25, 0.2757, 0.9375
26, 0.2725, 0.9375
27, 0.2694, 0.9375
28, 0.2667, 0.9375
29, 0.2642, 0.9375
30, 0.2619, 0.9375
31, 0.2596, 0.9375
32, 0.2575, 0.9375
33, 0.2555, 0.9375
34, 0.2536, 0.9375
35, 0.2518, 0.9375
36, 0.2501, 0.9375
37, 0.2485, 0.9375
38, 0.247, 0.9375
39, 0.2455, 0.9375
40, 0.2441, 0.9375
41, 0.2427, 0.9375
42, 0.2414, 0.9375
43, 0.2402, 0.9375
44, 0.239, 0.9375
45, 0.2379, 0.9375
46, 0.2368, 0.9375
47, 0.2358, 0.9375
48, 0.2348, 0.9375
49, 0.2338, 0.9375
50, 0.2329, 0.9375
51, 0.232, 0.9375
52, 0.2312, 0.9375
53, 0.2303, 0.9375
54, 0.2295, 0.9375
55, 0.2288, 0.9375
56, 0.2281, 0.9375
57, 0.2273, 0.9375
58, 0.2267, 0.9375
59, 0.226, 0.9375
60, 0.2254, 0.9375
61, 0.2247, 0.9375
62, 0.2242, 0.9375
63, 0.2236, 0.9375
64, 0.223, 0.9375
65, 0.2225, 0.9375
66, 0.222, 0.9375
67, 0.2214, 0.9375
68, 0.221, 0.9375
69, 0.2205, 0.9375
70, 0.22, 0.9375
71, 0.2196, 0.9375
72, 0.2191, 0.9375
73, 0.2187, 0.9375
74, 0.2183, 0.9375
75, 0.2179, 0.9375
76, 0.2175, 0.9375
77, 0.2171, 0.9375
78, 0.2168, 0.9375
79, 0.2164, 0.9375
80, 0.2161, 0.9375
81, 0.2157, 0.9375
82, 0.2154, 0.9375
83, 0.2151, 0.9375
84, 0.2148, 0.9375
85, 0.2145, 0.9375
86, 0.2142, 0.9375
87, 0.2139, 0.9375
88, 0.2136, 0.9375
89, 0.2133, 0.9375
90, 0.2131, 0.9375
91, 0.2128, 0.9375
92, 0.2126, 0.9375
93, 0.2123, 0.9375
94, 0.2121, 0.9375
95, 0.2118, 0.9375
96, 0.2116, 0.9375
97, 0.2114, 0.9375
98, 0.2112, 0.9375
99, 0.2109, 0.9375
100, 0.2107, 0.9375
101, 0.2105, 0.9375
102, 0.2103, 0.9375
103, 0.2101, 0.9375
104, 0.2099, 0.9375
105, 0.2097, 0.9375
106, 0.2096, 0.9375
107, 0.2094, 0.9375
108, 0.2092, 0.9375
109, 0.209, 0.9375
110, 0.2089, 0.9375
111, 0.2087, 0.9375
112, 0.2085, 0.9375
113, 0.2084, 0.9375
114, 0.2082, 0.9375
115, 0.2081, 0.9375
116, 0.2079, 0.9375
117, 0.2078, 0.9375
118, 0.2076, 0.9375
119, 0.2075, 0.9375
120, 0.2073, 0.9375
