epoch, loss, accuracy
1,1.6306,0.4437
2,0.9425,0.4375
3,0.5689,0.625
4,0.4294,0.8438
5,0.3748,0.8438
6,0.3829,0.8438
7,0.3292,0.9312
8,0.2974,0.9688
9,0.2749,0.9812
10,0.2634,0.9937
11,0.2562,1.0
12,0.2438,1.0
13,0.2339,1.0
14,0.225,1.0
15,0.2176,1.0
16,0.2105,1.0
17,0.2035,1.0
18,0.1968,1.0
19,0.1905,1.0
20,0.1845,1.0
21,0.1787,1.0
22,0.1732,1.0
23,0.168,1.0
24,0.163,1.0
25,0.1582,1.0
26,0.1537,1.0
27,0.1493,1.0
28,0.1451,1.0
29,0.1411,1.0
30,0.1373,1.0
31,0.1336,1.0
32,0.1301,1.0
33,0.1267,1.0
34,0.1234,1.0
35,0.1203,1.0
36,0.1173,1.0
37,0.1144,1.0
38,0.1116,1.0
39,0.109,1.0
40,0.1064,1.0
41,0.1039,1.0
42,0.1016,1.0
43,0.0993,1.0
44,0.097,1.0
45,0.0949,1.0
46,0.0928,1.0
47,0.0908,1.0
48,0.0889,1.0
49,0.0871,1.0
50,0.0853,1.0
51,0.7462,0.8438
