epoch, loss, accuracy
1,6.2905,0.4062
2,6.6118,0.4062
3,5.8631,0.4062
4,5.0904,0.4062
5,4.3059,0.4062
6,3.5353,0.4062
7,2.7804,0.4062
8,2.053,0.4062
9,1.4062,0.4062
10,0.9417,0.4812
11,0.7273,0.7312
12,0.6902,0.75
13,0.7004,0.75
14,0.6801,0.75
15,0.6589,0.75
16,0.6264,0.75
17,0.5983,0.7437
18,0.5782,0.75
19,0.5652,0.75
20,0.558,0.825
21,0.5512,0.8438
22,0.5446,0.8062
23,0.5649,0.725
24,0.5356,0.75
25,0.526,0.75
26,0.5249,0.75
27,0.509,0.75
28,0.5033,0.75
29,0.4971,0.75
30,0.4914,0.75
31,0.4858,0.75
32,0.4803,0.8062
33,0.475,0.8438
34,0.4698,0.8438
35,0.4647,0.8438
36,0.4597,0.8438
37,0.4549,0.8438
38,0.4501,0.8438
39,0.4455,0.8438
40,0.4409,0.8438
41,0.4365,0.8438
42,0.4322,0.8438
43,0.4279,0.8438
44,0.4237,0.8438
45,0.4197,0.8438
46,0.4157,0.8438
47,0.4117,0.8438
48,0.4079,0.8438
49,0.4041,0.8438
50,0.4004,0.8438
51,0.3968,0.8438
52,0.3932,0.8438
53,0.3897,0.8438
54,0.3863,0.8438
55,0.3829,0.8438
56,0.3796,0.8438
57,0.3763,0.8938
58,0.3731,0.9688
59,0.3699,0.9688
60,0.3668,0.9688
61,0.3637,0.9688
62,0.3607,0.9688
63,0.3577,0.9688
64,0.3548,0.9688
65,0.3518,0.9688
66,0.3487,0.9688
67,0.3457,0.9688
68,0.3432,0.9688
69,0.3404,0.9688
70,0.3374,0.9688
71,0.3343,0.9688
72,0.3315,0.9688
73,0.3278,0.9688
74,0.3234,0.9688
75,0.3191,0.9688
76,0.315,0.9688
77,0.3113,0.9688
78,0.3076,0.9688
79,0.3039,0.9688
80,0.3002,0.9688
81,0.2967,0.9688
82,0.2932,0.9688
83,0.2899,0.9688
84,0.2866,0.9688
85,0.2834,0.9688
86,0.2802,0.9688
87,0.2772,0.9688
88,0.2742,0.9688
89,0.2713,0.9688
90,0.2684,0.9688
91,0.2656,0.9688
